iter	Passed	Remaining
408	4602	6650
409	4612	6637
410	4624	6626
411	4636	6617
412	4655	6616
413	4665	6603
414	4675	6590
415	4684	6576
416	4693	6562
417	4703	6548
418	4712	6533
419	4722	6521
420	4729	6504
421	4739	6491
422	4749	6478
423	4759	6466
424	4769	6453
425	4779	6439
426	4789	6426
427	4798	6412
428	4807	6398
429	4816	6384
430	4825	6370
431	4835	6357
432	4844	6343
433	4852	6328
434	4862	6316
435	4872	6302
436	4882	6290
437	4891	6276
438	4902	6264
439	4910	6249
440	4917	6233
441	4926	6219
442	4937	6207
443	4947	6195
444	4957	6183
445	4969	6173
446	4981	6162
447	4989	6148
448	5000	6136
449	5010	6123
450	5021	6112
451	5030	6098
452	5041	6087
453	5051	6074
454	5061	6062
455	5071	6049
456	5081	6037
457	5090	6023
458	5099	6010
459	5109	5997
460	5118	5984
461	5128	5972
462	5138	5959
463	5149	5948
464	5159	5935
465	5168	5922
466	5178	5910
467	5188	5898
468	5197	5884
469	5207	5872
470	5216	5859
471	5225	5845
472	5234	5831
473	5243	5818
474	5253	5806
475	5263	5794
476	5275	5783
477	5283	5769
478	5292	5756
479	5300	5742
480	5309	5729
481	5317	5714
482	5326	5701
483	5334	5687
484	5343	5673
485	5351	5659
486	5361	5647
487	5370	5634
488	5378	5620
489	5388	5608
490	5396	5593
491	5405	5580
492	5413	5567
493	5421	5553
494	5429	5539
495	5438	5525
496	5447	5512
497	5456	5500
498	5465	5487
499	5473	5473
500	5482	5460
501	5491	5447
502	5498	5433
503	5507	5419
504	5515	5406
505	5524	5393
506	5533	5380
507	5541	5366
508	5549	5353
509	5557	5339
510	5565	5326
511	5574	5313
512	5584	5301
513	5591	5287
514	5601	5274
515	5609	5261
516	5617	5247
517	5625	5234
518	5633	5221
519	5641	5207
520	5650	5194
521	5657	5180
522	5666	5168
523	5674	5154
524	5683	5142
525	5692	5129
526	5700	5116
527	5707	5102
528	5715	5088
529	5723	5075
530	5732	5062
531	5738	5048
532	5749	5037
533	5759	5025
534	5768	5013
535	5776	5000
536	5785	4987
537	5793	4975
538	5801	4961
539	5809	4949
540	5818	4936
541	5828	4924
542	5836	4912
543	5846	4900
544	5855	4888
545	5863	4875
546	5872	4863
547	5882	4851
548	5890	4839
549	5899	4827
550	5908	4815
551	5917	4802
552	5927	4791
553	5935	4778
554	5945	4766
555	5954	4754
556	5962	4742
557	5971	4730
558	5981	4718
559	5991	4707
560	5999	4694
561	6007	4681
562	6015	4669
563	6023	4656
564	6032	4644
565	6041	4632
566	6049	4619
567	6056	4606
568	6064	4593
569	6073	4581
570	6081	4569
571	6089	4556
572	6098	4544
573	6105	4531
574	6114	4519
575	6122	4507
576	6130	4494
577	6138	4481
578	6146	4469
579	6154	4456
580	6163	4444
581	6171	4432
582	6179	4419
583	6187	4407
584	6196	4395
585	6202	4382
586	6210	4369
587	6219	4357
588	6225	4344
589	6234	4332
590	6241	4319
591	6250	4307
592	6258	4295
593	6266	4283
594	6274	4270
595	6283	4259
596	6290	4246
597	6300	4235
598	6308	4223
599	6316	4211
600	6325	4199
601	6334	4188
602	6342	4176
603	6349	4162
604	6356	4150
605	6364	4138
606	6372	4125
607	6380	4113
608	6388	4101
609	6397	4090
610	6404	4077
611	6412	4065
612	6420	4053
613	6428	4041
614	6436	4029
615	6453	4023
616	6461	4010
617	6469	3998
618	6477	3986
619	6484	3974
620	6492	3962
621	6499	3949
622	6506	3937
623	6516	3926
624	6525	3915
625	6532	3902
626	6539	3890
627	6547	3878
628	6554	3866
629	6562	3854
630	6570	3842
631	6578	3830
632	6584	3817
633	6592	3805
634	6599	3793
635	6608	3782
636	6617	3771
637	6630	3762
638	6642	3752
639	6651	3741
640	6662	3731
641	6674	3721
642	6683	3710
643	6693	3700
644	6703	3689
645	6713	3678
646	6725	3669
647	6736	3659
648	6748	3649
649	6756	3638
650	6767	3627
651	6777	3617
652	6786	3606
653	6797	3596
654	6806	3585
655	6816	3574
656	6827	3564
657	6837	3553
658	6846	3542
659	6855	3531
660	6865	3521
661	6874	3509
662	6883	3498
663	6892	3487
664	6901	3476
665	6911	3465
666	6919	3454
667	6928	3443
668	6937	3432
669	6946	3421
670	6954	3409
671	6964	3399
672	6972	3387
673	6981	3376
674	6989	3365
675	6998	3354
676	7007	3343
677	7017	3332
678	7025	3321
679	7034	3310
680	7043	3299
681	7050	3287
682	7060	3277
683	7069	3265
684	7077	3254
685	7085	3243
686	7094	3232
687	7102	3220
688	7111	3209
689	7119	3198
690	7128	3187
691	7136	3176
692	7145	3165
693	7153	3154
694	7162	3143
695	7170	3132
696	7179	3121
697	7187	3109
698	7196	3099
699	7205	3088
700	7213	3076
701	7222	3066
702	7230	3054
703	7238	3043
704	7246	3032
705	7254	3020
706	7262	3009
707	7270	2998
708	7278	2987
709	7286	2976
710	7294	2965
711	7302	2953
712	7310	2942
713	7319	2931
714	7326	2920
715	7334	2909
716	7342	2898
717	7351	2887
718	7358	2875
719	7367	2864
720	7374	2853
721	7382	2842
722	7390	2831
723	7397	2820
724	7406	2809
725	7414	2798
726	7422	2787
727	7431	2776
728	7437	2764
729	7445	2753
730	7454	2743
731	7462	2732
732	7469	2720
733	7477	2709
734	7485	2698
735	7493	2688
736	7502	2677
737	7510	2666
738	7518	2655
739	7525	2644
740	7533	2633
741	7542	2622
742	7550	2611
743	7558	2600
744	7581	2595
745	7591	2584
746	7599	2573
747	7606	2562
748	7614	2551
749	7622	2540
750	7629	2529
751	7637	2518
752	7645	2507
753	7654	2497
754	7663	2486
755	7670	2475
756	7678	2464
757	7684	2453
758	7691	2442
759	7699	2431
760	7706	2420
761	7714	2409
762	7721	2398
763	7730	2387
764	7736	2376
765	7744	2365
766	7752	2355
767	7760	2344
768	7768	2333
769	7776	2322
770	7784	2312
771	7791	2301
772	7797	2289
773	7805	2279
774	7813	2268
775	7821	2257
776	7829	2246
777	7837	2236
778	7845	2225
779	7852	2214
780	7860	2204
781	7868	2193
782	7876	2182
783	7883	2172
784	7892	2161
785	7900	2151
786	7908	2140
787	7916	2129
788	7923	2119
789	7930	2108
790	7938	2097
791	7946	2086
792	7954	2076
793	7962	2065
794	7970	2055
795	7977	2044
796	7985	2034
797	7993	2023
798	8001	2012
799	8009	2002
800	8017	1991
801	8025	1981
802	8034	1970
803	8041	1960
804	8049	1949
805	8056	1939
806	8064	1928
807	8072	1918
808	8080	1907
809	8087	1897
810	8095	1886
811	8103	1876
812	8110	1865
813	8117	1854
814	8125	1844
815	8132	1833
816	8140	1823
817	8147	1812
818	8154	1802
819	8163	1792
820	8170	1781
821	8178	1771
822	8186	1760
823	8195	1750
824	8202	1739
825	8210	1729
826	8218	1719
827	8225	1708
828	8234	1698
829	8242	1688
830	8250	1677
831	8257	1667
832	8265	1657
833	8273	1646
834	8282	1636
835	8289	1626
836	8297	1615
837	8305	1605
838	8311	1594
839	8318	1584
840	8326	1574
841	8333	1563
842	8341	1553
843	8349	1543
844	8356	1532
845	8365	1522
846	8372	1512
847	8380	1502
848	8387	1491
849	8396	1481
850	8403	1471
851	8411	1461
852	8420	1451
853	8427	1440
854	8435	1430
855	8442	1420
856	8449	1409
857	8458	1399
858	8465	1389
859	8474	1379
860	8481	1369
861	8489	1359
862	8497	1348
863	8505	1338
864	8512	1328
865	8520	1318
866	8529	1308
867	8536	1298
868	8544	1287
869	8551	1277
870	8559	1267
871	8567	1257
872	8575	1247
873	8583	1237
874	8591	1227
875	8600	1217
876	8609	1207
877	8615	1197
878	8622	1186
879	8629	1176
880	8636	1166
881	8643	1156
882	8650	1146
883	8657	1136
884	8664	1125
885	8672	1115
886	8679	1105
887	8686	1095
888	8693	1085
889	8701	1075
890	8709	1065
891	8716	1055
892	8723	1045
893	8730	1035
894	8736	1024
895	8743	1014
896	8750	1004
897	8757	994
898	8765	984
899	8771	974
900	8779	964
901	8785	954
902	8791	944
903	8799	934
904	8805	924
905	8813	914
906	8821	904
907	8828	894
908	8835	884
909	8842	874
910	8849	864
911	8855	854
912	8864	844
913	8872	834
914	8890	825
915	8898	816
916	8906	806
917	8916	796
918	8924	786
919	8932	776
920	8940	766
921	8948	757
922	8957	747
923	8966	737
924	8974	727
925	8982	717
926	8990	708
927	8999	698
928	9008	688
929	9016	678
930	9024	668
931	9033	659
932	9041	649
933	9050	639
934	9059	629
935	9066	619
936	9076	610
937	9084	600
938	9092	590
939	9100	580
940	9109	571
941	9116	561
942	9125	551
943	9131	541
944	9139	531
945	9147	522
946	9156	512
947	9163	502
948	9171	492
949	9179	483
950	9187	473
951	9195	463
952	9204	453
953	9212	444
954	9221	434
955	9228	424
956	9237	415
957	9245	405
958	9253	395
959	9261	385
960	9269	376
961	9277	366
962	9285	356
963	9293	347
964	9302	337
965	9309	327
966	9318	317
967	9325	308
968	9334	298
969	9343	288
970	9351	279
971	9359	269
972	9368	259
973	9375	250
974	9384	240
975	9392	230
976	9400	221
977	9408	211
978	9415	201
979	9423	192
980	9431	182
981	9438	173
982	9445	163
983	9454	153
984	9462	144
985	9471	134
986	9479	124
987	9486	115
988	9494	105
989	9503	95
990	9510	86
991	9518	76
992	9526	67
993	9534	57
994	9541	47
995	9550	38
996	9557	28
997	9566	19
998	9573	9
999	9582	0
