iter	Logloss
0	0.6887152508
1	0.6841786275
2	0.6799021437
3	0.6767835041
4	0.6729147068
5	0.6688986512
6	0.6646948937
7	0.6612265609
8	0.6574497729
9	0.6535799646
10	0.6496252967
11	0.6456786454
12	0.6424516745
13	0.6389384926
14	0.6352578305
15	0.6320724589
16	0.6286228312
17	0.6250066624
18	0.6219478938
19	0.6192086302
20	0.616430584
21	0.6133150499
22	0.6105185874
23	0.6075314619
24	0.6049259513
25	0.6018375
26	0.5992271505
27	0.5964515598
28	0.5938816902
29	0.5913838608
30	0.5889148113
31	0.5864929221
32	0.5841331428
33	0.5816712072
34	0.5795615647
35	0.5774501889
36	0.5754200977
37	0.5730708265
38	0.5706391875
39	0.5683275434
40	0.5662394227
41	0.5645356613
42	0.5622335864
43	0.5598570519
44	0.5573806721
45	0.5553834774
46	0.5538588958
47	0.5521887171
48	0.5499841042
49	0.5480654136
50	0.546232088
51	0.5445844782
52	0.5428190041
53	0.5409777342
54	0.5394777799
55	0.5376606318
56	0.5361766022
57	0.5347262997
58	0.5332119012
59	0.5314494604
60	0.5298044867
61	0.5281378106
62	0.5266463784
63	0.5251064499
64	0.5238625184
65	0.5224811507
66	0.5209861797
67	0.5195365272
68	0.518051306
69	0.5166753909
70	0.5155089163
71	0.5141812448
72	0.5128922114
73	0.5113401859
74	0.5100246836
75	0.5088105794
76	0.5077592247
77	0.5063364384
78	0.5050877404
79	0.5038302314
80	0.5024407388
81	0.5011852882
82	0.5000134331
83	0.4989347429
84	0.4977002001
85	0.496660798
86	0.4955448779
87	0.4946246041
88	0.4933174794
89	0.4921619101
90	0.4911691988
91	0.4905136865
92	0.489457132
93	0.4885576216
94	0.4877143713
95	0.4869292587
96	0.4858638571
97	0.4849648884
98	0.4839738382
99	0.4830502783
100	0.482333631
101	0.4814660784
102	0.4806180615
103	0.4797034931
104	0.4786619244
105	0.4777461643
106	0.4768752534
107	0.4759805818
108	0.4750752938
109	0.4739962064
110	0.4732327962
111	0.4723159167
112	0.4713057279
113	0.4704821217
114	0.4695353067
115	0.4687999542
116	0.4681852828
117	0.4674287697
118	0.4666833786
119	0.4660050806
120	0.4653058025
121	0.4645187399
122	0.4637785126
123	0.4631390333
124	0.4624581715
125	0.4619107016
126	0.4612669612
127	0.460408689
128	0.4597523822
129	0.4590788147
130	0.4584446798
131	0.4578427553
132	0.4573579731
133	0.4568853239
134	0.4560501262
135	0.4554701568
136	0.4549365533
137	0.454251936
138	0.4535865655
139	0.4529193896
140	0.4524105939
141	0.4516928633
142	0.4509118312
143	0.4501443044
144	0.4495094112
145	0.4488083997
146	0.4480278732
147	0.4476139395
148	0.4468892036
149	0.4463934076
150	0.4459004644
151	0.4453481195
152	0.4448227853
153	0.4442319828
154	0.4435532876
155	0.4429249665
156	0.4424297122
157	0.4419028974
158	0.4412742873
159	0.4406227833
160	0.4402374852
161	0.4397362727
162	0.4392580625
163	0.438881142
164	0.4384249231
165	0.4378871307
166	0.4373041281
167	0.4368453092
168	0.4363406301
169	0.4356336243
170	0.4352726647
171	0.4347877741
172	0.4342347792
173	0.4336818205
174	0.4332254932
175	0.4327576467
176	0.4323019694
177	0.4318094595
178	0.4313975842
179	0.4308682777
180	0.4303343492
181	0.4297984707
182	0.4292690198
183	0.4288523057
184	0.4284758185
185	0.4281954212
186	0.4277813431
187	0.4273340795
188	0.426961059
189	0.4264501689
190	0.4261817241
191	0.4257725209
192	0.425324499
193	0.424811045
194	0.4242074234
195	0.4237160329
196	0.4232393755
197	0.4227723234
198	0.4222306672
199	0.4219605614
200	0.4217356657
201	0.421298477
202	0.4209105428
203	0.4204276022
204	0.4201156082
205	0.4196781667
206	0.4194608542
207	0.4191237274
208	0.418735396
209	0.4181683904
210	0.4177786146
211	0.417379739
212	0.4171127747
213	0.4167685702
214	0.4162164421
215	0.4158591656
216	0.4156431532
217	0.4152323611
218	0.4148840401
219	0.4145847209
220	0.4142036116
221	0.4138764874
222	0.4136863299
223	0.4132827961
224	0.4130684447
225	0.4127730615
226	0.4125431465
227	0.4122164917
228	0.4118372963
229	0.4116027231
230	0.4113831718
231	0.4109517246
232	0.4105005611
233	0.4101336793
234	0.4097486701
235	0.4094261319
236	0.4090833719
237	0.4086871684
238	0.4082986926
239	0.4078260795
240	0.4073949212
241	0.4071778254
242	0.4068578872
243	0.4065141161
244	0.4061966694
245	0.4060086425
246	0.4057845413
247	0.4053852324
248	0.4051708449
249	0.4048384124
250	0.4046800683
251	0.4044082291
252	0.4041169625
253	0.4037307616
254	0.4034488477
255	0.4032142744
256	0.4029548572
257	0.4027179007
258	0.4023008977
259	0.4020651689
260	0.4018293679
261	0.4015501983
262	0.4012849673
263	0.4008524729
264	0.4004558001
265	0.4001588641
266	0.3997923074
267	0.3994023149
268	0.3990297277
269	0.398673029
270	0.3982836144
271	0.397885461
272	0.397641499
273	0.3973320689
274	0.3969881533
275	0.3966827676
276	0.3964673329
277	0.3960015085
278	0.3957613021
279	0.3954748743
280	0.3951653359
281	0.3947240305
282	0.3944962821
283	0.3941526555
284	0.3938027456
285	0.3936205685
286	0.3934651493
287	0.3932058405
288	0.3929782004
289	0.3926655565
290	0.3925501476
291	0.3924040088
292	0.3919491981
293	0.3916377097
294	0.391429461
295	0.3909957027
296	0.3907042195
297	0.3904466078
298	0.3901830379
299	0.3899957693
300	0.3897585961
301	0.3895568111
302	0.389361526
303	0.3893456013
304	0.3891916627
305	0.3888399834
306	0.388658023
307	0.3882296091
308	0.3880910895
309	0.3878468748
310	0.3877335242
311	0.3875357475
312	0.387491115
313	0.387262825
314	0.386958667
315	0.3867808232
316	0.3866230207
317	0.3865041091
318	0.3861716767
319	0.3857775316
320	0.3855869769
321	0.3854662598
322	0.385301488
323	0.3850958031
324	0.38488221
325	0.3846616837
326	0.384355973
327	0.3841271052
328	0.3839293285
329	0.383664928
330	0.3834846287
331	0.3831847318
332	0.3828651907
333	0.3827182214
334	0.3826264648
335	0.3825358277
336	0.3823198874
337	0.3821429464
338	0.381838319
339	0.3816444783
340	0.3815143363
341	0.3812940267
342	0.3811105858
343	0.3808381689
344	0.380695605
345	0.3805466495
346	0.3804465876
347	0.3801947897
348	0.379961047
349	0.3798727209
350	0.3797473456
351	0.3795795044
352	0.3793483977
353	0.3792618411
354	0.3790096821
355	0.3787306208
356	0.3784836978
357	0.3781509404
358	0.3778147885
359	0.3775266275
360	0.3772016338
361	0.3769249197
362	0.376710171
363	0.3764390541
364	0.3762339469
365	0.3760760722
366	0.3759335444
367	0.3756849242
368	0.3754389762
369	0.375186745
370	0.3750464199
371	0.3748595124
372	0.3746313669
373	0.3742212248
374	0.3741143741
375	0.3736951322
376	0.3735623542
377	0.3734040462
378	0.3732193053
379	0.373070711
380	0.3728194908
381	0.3726461609
382	0.3724198208
383	0.3722570712
384	0.3719892403
385	0.3717890441
386	0.3716716131
387	0.371380852
388	0.3712270939
389	0.3709017391
390	0.3706304777
391	0.3704288732
392	0.3701771837
393	0.370097163
394	0.3697753109
395	0.3696405469
396	0.3694479339
397	0.3693124115
398	0.3689670154
399	0.3688370902
400	0.3686773377
401	0.3685655399
402	0.3683999014
403	0.3681322872
404	0.3679423825
405	0.367865034
406	0.3676102389
407	0.3673174196
408	0.3671716058
409	0.3668758976
410	0.3667964186
411	0.3666692377
412	0.3664701249
413	0.3660805658
414	0.3659892787
415	0.3656412465
416	0.3654565418
417	0.3653630519
418	0.3651536837
419	0.36500397
420	0.3648407509
421	0.3645841142
422	0.364341705
423	0.3642290767
424	0.3640730436
425	0.3637806937
426	0.3635852641
427	0.363402076
428	0.3632334765
429	0.3630484106
430	0.36285262
431	0.362686476
432	0.3623947761
433	0.3621162203
434	0.3618945024
435	0.3618247371
436	0.3617409971
437	0.3614980823
438	0.3613255829
439	0.3611534446
440	0.3610049585
441	0.360827187
442	0.3606835398
443	0.3604685023
444	0.3601188813
445	0.3600047362
446	0.3597912154
447	0.3596717621
448	0.3595276094
449	0.3593309521
450	0.3591684552
451	0.3590936344
452	0.3589344597
453	0.3587726129
454	0.3584445859
455	0.358316755
456	0.3581570748
457	0.3579110185
458	0.3578463086
459	0.357659365
460	0.357408831
461	0.3571885213
462	0.3570232801
463	0.356766174
464	0.3564941181
465	0.3561910795
466	0.3560734318
467	0.3558709246
468	0.3556811644
469	0.3553835424
470	0.355313416
471	0.3551110171
472	0.3547528741
473	0.354554339
474	0.3542437895
475	0.3541050172
476	0.3539380787
477	0.3536776866
478	0.353567297
479	0.3533751535
480	0.3532691334
481	0.3530236548
482	0.3528286224
483	0.3526825197
484	0.352522045
485	0.3522927439
486	0.3521898293
487	0.3520098911
488	0.3518447943
489	0.3515904686
490	0.3514738681
491	0.351313899
492	0.3511091891
493	0.350968214
494	0.3508430553
495	0.3507753483
496	0.350637226
497	0.3503807337
498	0.3502144453
499	0.3500723147
500	0.3498826267
501	0.3495063201
502	0.3493158016
503	0.349178582
504	0.3490774006
505	0.3489707305
506	0.3488455718
507	0.3486943775
508	0.3484941092
509	0.3482979935
510	0.3480415013
511	0.3478086252
512	0.3477111271
513	0.3475994015
514	0.3474338714
515	0.3472616247
516	0.3470546037
517	0.3467071132
518	0.34656018
519	0.3464601902
520	0.3461917454
521	0.3460641312
522	0.3457680258
523	0.3456669889
524	0.3455090059
525	0.3452972183
526	0.3450758615
527	0.344929831
528	0.3447617009
529	0.3445096502
530	0.3443286648
531	0.3441031192
532	0.3440414787
533	0.343798239
534	0.3436701554
535	0.3435218138
536	0.3433705834
537	0.3432748908
538	0.3431183522
539	0.3429293503
540	0.3427579703
541	0.3426594249
542	0.3425588936
543	0.3424540289
544	0.3423332757
545	0.3421166132
546	0.341834302
547	0.3417069406
548	0.3415839124
549	0.3413648306
550	0.3411715315
551	0.3410356481
552	0.3408714179
553	0.3407357511
554	0.3406496278
555	0.3403929911
556	0.3402476466
557	0.3400786499
558	0.3400341619
559	0.3399490497
560	0.3396544248
561	0.3395050721
562	0.33932842
563	0.3392043085
564	0.3390741666
565	0.3388619818
566	0.3385874344
567	0.3384858558
568	0.338176534
569	0.3381167351
570	0.3378340267
571	0.337700671
572	0.3374771836
573	0.3373962602
574	0.337346139
575	0.3372203303
576	0.3371532371
577	0.3369015837
578	0.336696621
579	0.3364872889
580	0.3362744542
581	0.3360806135
582	0.3359656379
583	0.3358996642
584	0.335764214
585	0.3356115392
586	0.3354683975
587	0.3352565016
588	0.3349850236
589	0.3348113325
590	0.3345840897
591	0.3344340148
592	0.3343008396
593	0.3341712032
594	0.334032467
595	0.3338201017
596	0.3337551029
597	0.3336433773
598	0.3334685307
599	0.3334147984
600	0.3332569237
601	0.3331153709
602	0.3329736014
603	0.3328086491
604	0.332704615
605	0.3326264359
606	0.3324260592
607	0.3322335546
608	0.3320721411
609	0.3319343077
610	0.3316883596
611	0.3315705675
612	0.3314071679
613	0.3312305518
614	0.331077552
615	0.3309743124
