iter	Logloss
0	0.6888220603
1	0.6847854722
2	0.6806655492
3	0.6767502246
4	0.6728536199
5	0.6702201616
6	0.666763092
7	0.6633074311
8	0.6597629457
9	0.6559526784
10	0.6524627869
11	0.6488242967
12	0.6451984096
13	0.642173379
14	0.6385553792
15	0.6352384437
16	0.6318888031
17	0.6291301648
18	0.6258633512
19	0.6225838969
20	0.6193037114
21	0.6162838077
22	0.6132756902
23	0.610226121
24	0.6079562238
25	0.6053383646
26	0.6030940743
27	0.600298901
28	0.5979703253
29	0.5952970436
30	0.5926708192
31	0.5905131091
32	0.5881530875
33	0.5867336956
34	0.5844796795
35	0.5819354392
36	0.5797525496
37	0.5777542605
38	0.5753940676
39	0.5733789777
40	0.5714407123
41	0.5693096941
42	0.5671776451
43	0.5652996034
44	0.5631585348
45	0.5613895497
46	0.5597218969
47	0.5579127367
48	0.556083225
49	0.5550024776
50	0.5533492496
51	0.5519866801
52	0.5505656449
53	0.5488055771
54	0.5471494655
55	0.5456193491
56	0.5441532009
57	0.5426077457
58	0.5411352822
59	0.5396036028
60	0.5381800619
61	0.5368177815
62	0.5353071558
63	0.5340475958
64	0.5326912838
65	0.5312072236
66	0.5303202372
67	0.528897299
68	0.5275749315
69	0.5260709381
70	0.52467372
71	0.5236892636
72	0.522674434
73	0.5215394419
74	0.520404178
75	0.5191292498
76	0.5178817584
77	0.5168207109
78	0.5156848923
79	0.5145930826
80	0.5134174064
81	0.5121693306
82	0.5109209101
83	0.5099140323
84	0.5092078021
85	0.5082703579
86	0.5072973929
87	0.5062198942
88	0.5051254226
89	0.5039971292
90	0.5030590759
91	0.5022732948
92	0.5013025171
93	0.5002967579
94	0.4996646239
95	0.4985962124
96	0.4976627181
97	0.4967166332
98	0.4958950666
99	0.4950478127
100	0.4941611883
101	0.4932757416
102	0.4922732043
103	0.4914408471
104	0.4906977242
105	0.4900730941
106	0.4892735208
107	0.4883901615
108	0.4876194355
109	0.4868174629
110	0.4860835698
111	0.4853406993
112	0.4846340621
113	0.4841081298
114	0.4834789079
115	0.4829672936
116	0.4825610799
117	0.4818575647
118	0.4811578357
119	0.4804572442
120	0.4795956843
121	0.4788413465
122	0.4782933192
123	0.4776596286
124	0.4768833737
125	0.4761791469
126	0.4756033031
127	0.4750238185
128	0.4745164729
129	0.4739651817
130	0.4734392914
131	0.4729903098
132	0.472320256
133	0.4716605362
134	0.4711051109
135	0.4707033152
136	0.4702426467
137	0.4697202249
138	0.4693078706
139	0.4688785095
140	0.4684424994
141	0.4678381687
142	0.4672611836
143	0.466841429
144	0.4662464502
145	0.4657483279
146	0.465296475
147	0.46468561
148	0.4642863447
149	0.4637958457
150	0.4633527456
151	0.4628368941
152	0.4624243755
153	0.4620226534
154	0.4614711926
155	0.4610687729
156	0.4605595979
157	0.460265477
158	0.4597178449
159	0.4594167568
160	0.4590007941
161	0.4585996656
162	0.4580984918
163	0.4575173936
164	0.4572055361
165	0.4567951993
166	0.4564671415
167	0.4561111937
168	0.4556948459
169	0.4553686873
170	0.4549519171
171	0.4544423887
172	0.4540702815
173	0.4536042053
174	0.45328461
175	0.4528055936
176	0.452601786
177	0.4521404928
178	0.4517672191
179	0.4512710754
180	0.4508760325
181	0.4505742111
182	0.4502110456
183	0.4497188831
184	0.449402969
185	0.4490290704
186	0.4487412012
187	0.4483827929
188	0.4480656782
189	0.4476378259
190	0.4473953987
191	0.4470315648
192	0.4468431305
193	0.4466076042
194	0.446193225
195	0.4458992654
196	0.4457358703
197	0.4454886492
198	0.4452167141
199	0.4449746813
200	0.4446287058
201	0.444342737
202	0.443882496
203	0.4436492567
204	0.4433143462
205	0.4430824698
206	0.4427555263
207	0.4424902766
208	0.4421735902
209	0.4420952094
210	0.4418036161
211	0.4414557833
212	0.4411568189
213	0.4409381178
214	0.4405717223
215	0.4403344057
216	0.4400774622
217	0.439844487
218	0.4396174223
219	0.4392769241
220	0.4392610699
221	0.4389354857
222	0.4387100918
223	0.4383984118
224	0.4381890082
225	0.4379417449
226	0.4377601174
227	0.4374253981
228	0.4371299099
229	0.4369670988
230	0.4367190615
231	0.4366031545
232	0.4363345738
233	0.4360594853
234	0.4357854979
235	0.4356102735
236	0.4354472805
237	0.4350779917
238	0.434760139
239	0.4344674108
240	0.4340798551
241	0.4338818384
242	0.43363478
243	0.4333245718
244	0.4330147398
245	0.4327282904
246	0.4324462695
247	0.4322613791
248	0.431767384
249	0.4314517736
250	0.4311424251
251	0.4309284485
252	0.4307130803
253	0.4305191411
254	0.4303574696
255	0.4301724414
256	0.4299966197
257	0.4298250165
258	0.4296653988
259	0.4295056147
260	0.4291722077
261	0.4290251098
262	0.428805339
263	0.4285952798
264	0.4284224991
265	0.4283250362
266	0.4281158456
267	0.4278098363
268	0.4274444285
